LAST,FIRST,LEAGUE,TEAM,POSITION,1PG,2PG,SHOTS,ES%
Liam,Byrnes,MLL,Atlas,Defense,4,0,10,0.4
Charlie,Hayes,MLL,Outlaws,Midfield,4,0,10,0.4
Ranagan,John,PLL,Chrome,Midfield,10,2,32,0.41
Petterson,Clarke,PLL,Redwoods,Attack,9,0,22,0.41
Connor,O'Hara,MLL,Cannons,Attack,28,0,69,0.41
Steele,Stanwick,MLL,Bayhawks,Attack,23,0,56,0.41
Michael,Begley,MLL,Lizards,Midfield,7,0,17,0.41
Brendan,Bomberry,MLL,Bayhawks,Attack,15,0,36,0.42
MacIntosh,Jordan,PLL,Chrome,Midfield,20,0,46,0.43
TJ,Comizio,MLL,Atlas,Midfield,6,0,14,0.43
Kenny,Massa,MLL,Bayhawks,Midfield,3,0,7,0.43
Brian,Begley,MLL,Outlaws,Midfield,3,0,7,0.43
Van Raaphorst,Cade,PLL,Atlas,Long Stick Midfield,1,2,9,0.44
Byrne,Josh,PLL,Chaos,Attack,17,0,39,0.44
Challen,Rogers,MLL,Cannons,Midfield,17,1,42,0.44
Reh,Troy,PLL,Chaos,Long Stick Midfield,3,1,10,0.45
Tommy,Palasek,MLL,Atlas,Attack,28,0,61,0.46
Eli,Salama,MLL,Rattlers,Long Stick Midfield,1,4,15,0.47
Shayne,Jackson,MLL,Atlas,Attack,43,0,89,0.48
Rees,Matt,PLL,Chaos,Long Stick Midfield,2,2,10,0.5
Simoneau,Drew,PLL,Chrome,Midfield,1,0,2,0.5
Berg,Wes,PLL,Redwoods,Attack,4,0,8,0.5
Leo,Stouros,MLL,Atlas,Long Stick Midfield,3,0,6,0.5
Charlie,Durbin,MLL,Cannons,Midfield,2,0,4,0.5
John,Daniggelis,MLL,Cannons,Midfield,2,0,4,0.5
Matt,Dziama,MLL,Cannons,Midfield,1,0,2,0.5
Isaiah,Davis-Allen,MLL,Bayhawks,Midfield,2,0,4,0.5
Noah,Rak,MLL,Rattlers,Midfield,1,0,2,0.5
Zack,Greer,MLL,Rattlers,Attack,12,0,24,0.5
Blake,Boudreau,MLL,Rattlers,Midfield,2,0,4,0.5
Kyle,Pless,MLL,Outlaws,Long Stick Midfield,1,0,2,0.5
Austin,Kaut,MLL,Lizards,Goalie,0,1,3,0.5
Bryan,Cole,MLL,Atlas,Midfield,39,0,77,0.51
Christian,Mazzone,MLL,Atlas,Midfield,33,0,65,0.51
Neumann,Jarrod,PLL,Chaos,Defense,0,5,14,0.54
Gregory,Puskuldjian,MLL,Lizards,Midfield,6,0,11,0.55
Law,Eric,PLL,Atlas,Attack,20,0,34,0.59
